symbol,date,price_gbx,price
ZZ00AB55NS_0,2024-06-30,100.00,1.000000
KYG1319E1061,2024-06-30,550.90,550.898210
XD0414370185,2024-06-30,1435.42,1435.420000
XS2204965540,2024-06-30,93.47,0.934734
XS2233154454,2024-06-30,94.93,0.949293
DE000LB2CU83,2024-06-30,93.68,0.936781
FR0013480027,2024-06-30,94.42,0.944195
XS1950905486,2024-06-30,95.10,0.951044
XS1811047080,2024-06-30,96.22,0.962192
XS1992928116,2024-06-30,96.35,0.963507
XS1892151348,2024-06-30,96.78,0.967792
DE000A1G85C2,2024-06-30,97.40,0.974019
XS2204965540,2023-10-03,89.68,0.896770
XS2233154454,2023-10-03,90.87,0.908695
DE000LB2CU83,2023-10-03,89.37,0.893687
FR0013480027,2023-10-03,90.56,0.905612
XS1950905486,2023-10-03,92.22,0.922242
XS1811047080,2023-10-03,93.24,0.932398
XS1992928116,2023-10-03,93.61,0.936064
XS1892151348,2023-10-03,94.82,0.948170
DE000A1G85C2,2023-10-03,95.55,0.955549
ZZ00AB55NS 0,2023-10-03,68.24,0.682399
KYG1319E1061,2023-10-03,452.27,452.272470
XD0414370185,2023-10-03,1402.86,1402.860000
XS2398149307,2023-10-03,99.82,0.998200
XS2575531590,2023-10-03,99.26,0.992600



ZZECI12,2023-10-03,100,1,
ZZCircularity,2023-10-03,100,1,
ZZZinitus,2023-10-03,100,1,
ZZBalanceLegalII,2023-10-03,100,1,
LU0827876581,2023-10-03,6833,68.33
LU2707172339,2023-10-03,100,1,
GB00B0TN1N90,2023-10-03,3210,32.10
KYG9047A1067,2023-10-03,100,1,